Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
241;;porte servette alum mdwra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
242;;machota 2kg incgo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
243;;machota yed rouge;qte;0,00;0,00;20,00;0,00;0,00;;Oui
244;;mterka mesmar;qte;0,00;0,00;20,00;0,00;0,00;;Oui
245;;mterka mesmar pigoen muler;qte;0,00;0,00;20,00;0,00;0,00;;Oui
246;;mterka mesmar  byota;qte;0,00;0,00;20,00;0,00;0,00;;Oui
247;;mterka 200g incgo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
248;;megdi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
249;;melasa carre;qte;0,00;0,00;20,00;0,00;0,00;;Oui
250;;bik cocina 3adi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
251;;robinet stal vert;qte;0,00;0,00;20,00;0,00;0,00;;Oui
252;;grjouta 32 bla barbora jimtem;qte;0,00;0,00;20,00;0,00;0,00;;Oui
253;;bik cocina momtaz male clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
254;;bik cocina jemtime momtaz clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
255;;sifon 40 bla barbora italy;qte;0,00;0,00;20,00;0,00;0,00;;Oui
256;;robinet laVADORA doble clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
257;;ras paso 20 ppr panama;qte;0,00;0,00;20,00;0,00;0,00;;Oui
258;;scotch kaghit wasa3 miarco;qte;0,00;0,00;20,00;0,00;0,00;;Oui
259;;sifon barbora grand jimtem mokhtalet;qte;0,00;0,00;20,00;0,00;0,00;;Oui
260;;sifon 15*15 relax;qte;0,00;0,00;20,00;0,00;0,00;;Oui
261;;filtre eau best;qte;0,00;0,00;20,00;0,00;0,00;;Oui
262;;mecanisme brecomed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
263;;papier gynique alum;qte;0,00;0,00;20,00;0,00;0,00;;Oui
264;;robinet cocina noir germano;qte;0,00;0,00;20,00;0,00;0,00;;Oui
265;;ghataya tasa 3adia ps;qte;0,00;0,00;20,00;0,00;0,00;;Oui
266;;ghataya tasa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
267;;ghataya tasa oval agua som;qte;0,00;0,00;20,00;0,00;0,00;;Oui
268;;ghataya tasa clemed 3tam;qte;0,00;0,00;20,00;0,00;0,00;;Oui
269;;ghataya tasa gamex;qte;0,00;0,00;20,00;0,00;0,00;;Oui
270;;robinet cocina rosol dore germano;qte;0,00;0,00;20,00;0,00;0,00;;Oui
271;;mecanisme econopoop;qte;0,00;0,00;20,00;0,00;0,00;;Oui
272;;mecanisme roca;qte;0,00;0,00;20,00;0,00;0,00;;Oui
273;;robinet cocina rosol saniton;qte;0,00;0,00;20,00;0,00;0,00;;Oui
274;;robinet tabla palaman;qte;0,00;0,00;20,00;0,00;0,00;;Oui
275;;robinet docha noir rolin;qte;0,00;0,00;20,00;0,00;0,00;;Oui
